sample_name,mgrast_id,metagenome_id,metagenome_name,investigation_type,seq_meth,target_gene
EM012,mgl69238,mgm4495052.3,EM012-T0,mimarks-survey,454,
EM015,mgl69241,mgm4495053.3,EM015-T0,mimarks-survey,454,
EM017,mgl69244,mgm4495054.3,EM017-T0,mimarks-survey,454,
EM041,mgl69247,mgm4495055.3,EM041-T0,mimarks-survey,454,
EM044,mgl69250,mgm4495056.3,EM044-T0,mimarks-survey,454,
EM047,mgl69253,mgm4495057.3,EM047-T6,mimarks-survey,454,
EM049,mgl69256,mgm4495058.3,EM049-T6,mimarks-survey,454,
EM053,mgl69259,mgm4495059.3,EM053-T6,mimarks-survey,454,
EM054,mgl69262,mgm4495060.3,EM054-T6,mimarks-survey,454,
EM055,mgl69265,mgm4495061.3,EM055-T6,mimarks-survey,454,
EM059,mgl69268,mgm4495062.3,EM059-T6,mimarks-survey,454,
EM060,mgl69271,mgm4495063.3,EM060-T0,mimarks-survey,454,
EM071,mgl69274,mgm4495064.3,EM071-T0,mimarks-survey,454,
EM072,mgl69277,mgm4495065.3,EM072-T6,mimarks-survey,454,
EM073,mgl69280,mgm4495066.3,EM073-T6,mimarks-survey,454,
EM081,mgl69283,mgm4495067.3,EM081-T0,mimarks-survey,454,
EM082,mgl69286,mgm4495068.3,EM082-T0,mimarks-survey,454,
EM084,mgl69289,mgm4495069.3,EM084-T3,mimarks-survey,454,
EM089,mgl69292,mgm4495070.3,EM089-T0,mimarks-survey,454,
EM093,mgl69295,mgm4495071.3,EM093-T6,mimarks-survey,454,
EM094,mgl69298,mgm4495072.3,EM094-T0,mimarks-survey,454,
EM095,mgl69301,mgm4495073.3,EM095-T0,mimarks-survey,454,
EM096,mgl69304,mgm4495074.3,EM096-T3,mimarks-survey,454,
EM100,mgl69307,mgm4495075.3,EM100-T6,mimarks-survey,454,
EM102,mgl69310,mgm4495076.3,EM102-T0,mimarks-survey,454,
EM105,mgl69313,mgm4495077.3,EM105-T3,mimarks-survey,454,
EM106,mgl69316,mgm4495078.3,EM106-T3,mimarks-survey,454,
