"","addition.of.fertilizers..pesticides..etc....amount.and.time.of.applications","present.state.of.sample.site","vegetation.classification.from.one.or.more.standard.classification.systems..or.agricultural.crop","drainage.classification.from.a.standard.system.such.as.the.USDA.system","pH.measurement","total.nitrogen.content.of.the.soil.Units.of.g.N.kg.soil","Octo"
"CC12-SM-July2012","72 lb N/acre liquid urea ammonia nitrate (32% solution) applied at planting (2012-5-11); Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook (2012-5-12);  100 lb N/acre liquid urea ammonia nitrate (32% solution) + 28 oz/ac Roundup PowerMax (49% glyphosate) (2012-6-12)","row crop agriculture","7","poorly drained",6.77,0.10323830694,0
"P24-SM-July2012","None","harvested grassland","2.C.1.Nb.M054.G333","somewhat poorly drained",7.5,0.0850184857845,0
"PF15-LM-October2012","75 lb/acre liquid urea amonia nitrate (28% solution) 2012-3-28","fertilized harvested grassland","2.C.1.Nb.M054.G333","poorly drained",7.83,0.111252464354,1
"CC12-WS-July2012","72 lb N/acre liquid urea ammonia nitrate (32% solution) applied at planting (2012-5-11); Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook (2012-5-12);  100 lb N/acre liquid urea ammonia nitrate (32% solution) + 28 oz/ac Roundup PowerMax (49% glyphosate) (2012-6-12)","row crop agriculture","7","poorly drained",6.77,0.0983484014869,0
"PF32-Micro-October2012","75 lb/acre liquid urea amonia nitrate (28% solution) 2012-3-28","fertilized harvested grassland","2.C.1.Nb.M054.G333","poorly drained",7.33,0.0961768552661,1
"PF41-MM-July2012","75 lb/acre liquid urea amonia nitrate (28% solution) 2012-3-28","fertilized harvested grassland","2.C.1.Nb.M054.G333","poorly drained",7.03,0.10545899719,0
"P24-LM-October2012","None","harvested grassland","2.C.1.Nb.M054.G333","somewhat poorly drained",7.44,0.0914528518915,1
"P24-WS-July2012","None","harvested grassland","2.C.1.Nb.M054.G333","somewhat poorly drained",7.5,0.0880655497313,0
"CC21-LM-July2012","72 lb N/acre liquid urea ammonia nitrate (32% solution) applied at planting (2012-5-11); Spray 28 oz/ac  Roundup PowerMax (49% glyphosate) + 19 oz/ac Outlook (2012-5-12);  100 lb N/acre liquid urea ammonia nitrate (32% solution) + 28 oz/ac Roundup PowerMax (49% glyphosate) (2012-6-12)","row crop agriculture","7","somewhat poorly drained",6.4,0.0881277024746,0
"P31-LM-July2012","None","harvested grassland","2.C.1.Nb.M054.G333","poorly drained",7.74,0.108068190515,0
