"","Arthrobacter","Bacillus","Bradyrhizobium","Candidatus Koribacter","Candidatus Nitrososphaera","Candidatus Solibacter","Chthoniobacter","Micromonospora","Nitrospira","Rubrobacter","Ruminococcus","Terrimonas","unclassified (derived from Alphaproteobacteria)","unclassified (derived from Bacteria)","all_others"
"CC12-SM-July2012",158,210,40,180,1077,129,921,89,179,113,130,546,332,5769,4048
"P24-SM-July2012",155,188,27,225,479,59,1889,61,109,174,104,773,550,8179,5473
"PF15-LM-October2012",174,365,298,171,1074,131,1991,160,229,241,117,1295,811,10657,7678
"CC12-WS-July2012",86,162,118,286,1024,149,2021,82,249,208,122,552,445,7853,5041
"PF32-Micro-October2012",212,171,126,203,280,112,1680,99,87,97,128,1416,478,7574,5767
"PF41-MM-July2012",82,128,45,279,865,118,878,74,161,142,47,831,383,5795,4481
"P24-LM-October2012",88,591,63,165,880,87,1078,98,114,171,100,689,441,7871,6611
"P24-WS-July2012",60,195,11,214,486,94,1501,94,99,142,59,524,444,7140,5142
"CC21-LM-July2012",55,178,225,1704,453,359,709,56,253,88,232,490,533,7196,5491
"P31-LM-July2012",61,216,122,139,600,107,1332,106,97,229,73,581,294,7352,5311
"P13-WS-October2012",84,349,30,275,682,158,2680,108,77,188,156,1013,558,7296,5719
"PF23-MM-October2012",163,201,336,757,287,204,713,192,121,74,171,962,595,8441,5653
"PF41-SM-October2012",119,232,138,204,641,79,1041,57,141,99,83,641,379,5450,4683
"P46-Micro-July2012",454,183,275,589,106,207,1199,85,32,73,172,936,602,7619,5545
"CC12-Micro-July2012",205,169,262,228,927,123,706,84,173,179,175,612,418,7070,4353
"P46-WS-October2012",134,367,421,998,120,315,921,71,38,80,242,1208,599,9182,6606
"PF41-SM-July2012",154,142,111,213,813,89,1459,76,151,143,103,844,253,5344,4332
"CC35-MM-July2012",62,133,90,1130,472,277,2584,39,153,47,132,484,435,6235,4507
"P13-MM-July2012",54,255,91,84,601,77,814,96,73,135,77,700,371,7049,4726
"PF41-WS-July2012",93,86,142,194,561,115,1140,118,159,160,91,541,336,6293,5009
"PF23-WS-October2012",152,143,347,718,401,197,1655,106,157,107,167,1170,547,7644,6590
"P24-Micro-October2012",191,372,197,427,594,135,1815,215,101,243,138,1168,738,10187,7267
"PF23-Micro-July2012",205,198,161,623,393,152,1956,73,139,39,204,1383,399,7279,5476
"CC43-MM-July2012",67,219,144,1173,501,243,2703,66,167,67,209,469,545,6873,4916
"CC12-SM-October2012",179,187,112,200,1092,99,1395,69,238,272,131,639,509,6652,4602
"P24-SM-October2012",94,340,244,235,390,107,1900,129,89,137,101,733,638,6731,4992
"PF32-LM-October2012",196,272,332,193,626,95,1619,97,132,162,138,1619,607,8129,6927
"PF15-Micro-October2012",204,169,12,110,747,70,1019,92,125,177,108,759,492,5604,4168
"P46-MM-October2012",114,280,255,753,115,273,979,58,34,56,140,940,390,5803,4161
"CC12-MM-October2012",177,375,141,589,1759,249,4396,75,302,265,219,1214,685,10510,8452
"PF32-LM-July2012",72,229,41,470,755,130,2270,74,104,124,125,846,251,5930,4686
"PF41-WS-October2012",248,251,96,464,650,144,1011,91,207,142,123,785,503,8057,5497
"PF23-WS-July2012",121,212,155,790,476,317,2242,67,115,76,167,1128,453,7767,6786
"P13-SM-October2012",81,194,131,122,452,72,1228,95,53,209,89,561,355,5389,3670
"CC21-Micro-October2012",172,349,250,1282,918,313,1873,109,241,88,252,1008,478,7543,5195
"P46-MM-July2012",158,360,139,1165,144,372,1578,83,31,56,221,983,395,7310,5731
"CC12-MM-July2012",67,110,15,303,1158,166,2033,76,260,148,106,473,383,8018,5294
"P31-Micro-October2012",69,207,141,118,687,55,1066,83,69,231,110,1180,538,7338,4991
"P46-SM-October2012",265,286,28,744,105,288,926,116,58,63,216,1120,576,8364,5639
"CC43-MM-October2012",25,285,242,1869,1081,340,1362,70,338,112,290,632,390,6893,5343
"PF23-SM-July2012",155,146,72,463,241,104,1387,86,61,52,102,903,361,5006,4239
"CC35-MM-October2012",146,323,217,1428,899,284,2321,71,239,108,207,685,583,6931,5421
"P13-MM-October2012",41,174,10,98,398,67,1487,57,72,125,50,604,264,4897,3748
"PF41-Micro-July2012",199,187,114,167,518,50,602,52,77,103,67,628,199,3806,3567
"CC12-WS-October2012",86,304,0,320,1202,194,755,33,224,181,135,958,360,7057,5687
"P24-WS-October2012",156,407,176,116,533,87,1624,111,96,148,129,655,529,7404,5464
"CC43-Micro-July2012",222,245,299,840,480,263,2163,62,204,77,218,795,371,7383,5698
"PF23-MM-July2012",109,195,222,583,370,212,1371,39,164,43,137,966,346,6496,5562
"P13-SM-July2012",178,283,134,74,533,90,1134,100,78,186,88,784,516,8495,6096
"PF15-LM-July2012",54,139,32,37,1391,29,475,30,244,183,65,281,129,6366,4274
"PF41-MM-October2012",219,309,142,369,831,132,1457,140,176,262,77,650,478,8739,6865
"P13-Micro-July2012",209,220,131,84,522,55,1547,72,57,198,127,843,502,7123,4914
"CC35-Micro-July2012",268,192,13,645,446,233,1508,81,154,59,162,520,447,5782,4230
"P46-WS-July2012",182,238,228,1172,195,420,470,102,52,52,250,778,319,6852,5130
"PF23-SM-October2012",170,211,25,511,382,145,1246,106,83,81,109,891,441,6596,4728
"P31-LM-October2012",51,251,53,182,822,95,1377,96,98,224,70,729,524,7516,6662
"P13-WS-July2012",99,249,0,90,675,105,823,101,87,196,111,807,520,9115,6362
"CC21-LM-October2012",29,343,143,1428,628,225,1741,71,199,58,236,477,426,5814,4449
"P46-SM-July2012",301,234,112,822,117,246,718,62,46,86,167,755,516,6953,5130
"P24-LM-July2012",35,284,151,1221,630,219,1901,141,116,119,104,627,456,7615,5553
"P13-LM-October2012",139,237,165,219,467,98,1109,120,68,194,106,1170,557,7744,6214
"CC35-LM-October2012",250,309,64,1364,596,350,793,67,217,96,155,620,443,6786,4471
"CC35-WS-October2012",188,227,0,575,239,149,1562,23,103,27,98,485,294,3941,3267
"PF15-SM-October2012",199,314,276,154,1007,79,1137,90,173,256,93,685,594,7978,5623
"CC21-Micro-July2012",253,157,84,879,698,334,675,125,251,83,225,918,462,8255,5821
"P31-Micro-July2012",148,137,126,78,732,78,1776,110,99,170,111,1062,530,7070,5346
"P31-SM-July2012",168,234,44,115,672,61,1345,96,103,218,115,729,549,7074,5216
"CC43-WS-October2012",36,455,29,1399,827,418,1917,60,237,87,268,617,355,6237,5244
"CC21-WS-October2012",40,242,66,1189,639,259,2504,73,310,72,223,771,369,6291,5252
"P46-LM-July2012",131,241,47,928,109,334,510,82,30,87,271,711,354,6807,4824
"CC12-LM-July2012",50,433,195,467,1028,229,1765,77,214,164,140,447,502,6244,5135
"PF32-MM-July2012",90,103,158,206,571,82,1346,60,152,104,83,831,405,5650,4415
"P31-WS-July2012",113,349,71,179,712,106,1334,106,119,216,105,865,460,7727,6268
"PF41-Micro-October2012",326,176,237,281,1028,122,1539,153,179,202,124,1355,890,8255,6717
"CC43-LM-October2012",33,310,23,1299,457,303,934,46,160,47,180,247,339,5472,3128
"PF41-LM-October2012",70,157,43,87,559,57,715,72,93,139,46,575,399,5356,4125
"P31-SM-October2012",29,120,92,48,419,37,674,40,46,116,57,403,144,3956,2915
"P24-MM-July2012",88,291,109,280,584,131,823,79,110,142,114,792,523,8177,6108
"CC43-Micro-October2012",114,316,25,1203,1022,374,2311,78,202,98,260,1102,514,7886,5993
"CC21-MM-October2012",30,221,0,950,527,123,1213,20,151,28,134,360,210,3543,2528
"P31-MM-October2012",69,175,126,75,663,76,1060,93,92,240,29,759,402,6271,4816
"PF15-MM-July2012",83,144,87,103,783,50,928,54,165,122,85,581,304,5961,3857
"PF15-WS-July2012",84,193,0,111,1159,98,1098,73,177,121,80,887,288,7305,5266
"PF23-LM-July2012",46,216,200,799,345,263,769,59,131,75,174,549,255,5624,3986
"PF15-SM-July2012",182,178,103,199,970,101,1659,68,208,151,105,939,351,7566,5825
"PF32-WS-October2012",181,264,156,268,422,121,2282,121,140,75,142,1386,564,8132,6737
"P13-Micro-October2012",158,234,105,207,441,61,1538,189,90,350,156,770,679,7634,5778
"CC35-Micro-October2012",494,444,217,1053,748,272,1901,94,201,134,263,1279,662,7869,6064
"PF32-Micro-July2012",115,94,0,122,496,60,1362,19,78,77,72,869,270,3549,2928
"PF23-LM-October2012",190,202,99,622,414,168,920,188,120,97,197,706,480,6933,5047
"CC21-SM-October2012",120,483,55,1360,860,370,871,110,299,90,346,817,516,8232,6590
"CC43-SM-October2012",36,210,31,470,506,113,878,41,96,33,113,362,194,3240,2365
"P46-Micro-October2012",437,536,432,1195,163,461,976,101,46,137,342,1658,1075,12952,9697
"CC21-MM-July2012",107,210,66,1211,654,267,1802,58,313,100,196,536,415,7454,5791
"CC35-SM-October2012",415,336,257,938,766,307,1389,90,219,108,245,1013,646,7364,5463
"PF32-WS-July2012",111,251,63,359,711,113,2408,99,187,129,144,1771,325,7482,6515
"P31-MM-July2012",87,170,193,175,537,124,1427,191,118,223,127,471,706,8270,5531
"CC12-Micro-October2012",264,374,145,194,1405,135,1637,99,192,326,178,1424,475,7265,5307
"PF15-MM-October2012",111,229,201,149,1239,121,1393,93,215,258,90,895,583,9463,6410
"PF41-LM-July2012",173,199,118,357,538,107,465,86,148,114,112,527,227,5403,4005
"PF15-WS-October2012",101,211,65,129,657,80,836,75,137,268,96,807,388,6848,4727
"P24-MM-October2012",67,318,72,320,366,110,1505,131,73,113,92,552,393,6928,5132
"PF32-SM-July2012",192,224,197,303,1038,125,985,103,232,143,159,1105,383,6734,5960
"PF32-MM-October2012",139,180,75,329,567,164,1846,175,205,182,110,1172,646,9065,6646
"CC35-SM-July2012",99,59,136,742,489,172,1637,19,121,30,133,408,160,3464,2691
"CC43-LM-July2012",35,199,55,967,401,275,1566,43,156,51,185,643,476,5751,4622
"CC35-WS-July2012",78,193,136,595,433,186,1259,28,139,39,113,320,189,3577,2854
"CC12-LM-October2012",45,481,29,110,1850,79,1441,96,216,322,68,237,517,7722,5549
"P46-LM-October2012",141,427,336,1467,70,348,1238,49,20,52,196,623,676,7722,5909
"PF32-SM-October2012",205,221,140,197,448,113,867,118,112,117,139,1697,478,8081,6584
"CC21-WS-July2012",67,229,65,1122,511,290,1619,81,245,59,162,525,316,6404,4930
"PF15-Micro-July2012",182,118,37,240,852,118,848,61,193,109,103,857,372,6702,5163
"CC43-WS-July2012",78,161,106,1076,400,255,937,53,219,64,142,457,336,6607,5496
"P31-WS-October2012",112,328,0,275,840,97,1427,175,94,253,84,1192,554,8493,6784
"CC35-LM-July2012",76,93,45,952,607,197,1300,58,144,70,138,256,344,5612,4212
