"","mu","alpha_cent"
"Alistipes",0.604545163429986,10.5105288067152
"Bacteroides",2.58366171295868,12.8613062317438
"Barnesiella",-3.27293861120445,5.67310549058897
"Blautia",0.801472602475473,9.19693523819008
"Butyrivibrio",-4.48171286764496,6.44552490618686
"Caloramator",-1.8078076572524,5.44089150514087
"Clostridium",4.70695807654106,7.42693295113258
"Eubacterium",2.75070777536395,9.58785915946572
"Faecalibacterium",0.644747942778116,9.09688121981769
"Hespellia",-2.21203325678795,3.14843579783736
"Parabacteroides",-0.714209512405287,10.2398820576945
"Ruminococcus",-0.0521140205640305,6.31643111228124
"Selenomonas",-3.31842885354577,3.76228542403701
"Veillonella",-11.4570734958111,4.80085385302022
